ID,COU,RES,SITE,SITE_ID,PLOT,GRAZ,DVS,DSS,STY,TAXOUSDA,TAXNWRB,STE,SDE,VEG,ELE-ALOS30,ELE EGM96,BIOME,DIST_EQUATOR,Lat_decimal,Long_decimal,NDVImean_S2,NDVI_Mean_L8,NDVI_Mean_SD_L8,NDVI_Mean_CV_L8,NDVI_Max_L8,NDVI_Max_SD_L8,NDVI_Max_CV_L8,NDVI_Mean_MODIS,NDVI_SD_Mean_MODIS,NDVI_CV_Mean_MODIS,NDVI_Max_MODIS,NDVI_Max_SD_MODIS,NDVI_Max_CV_MODIS,ASPECT-ALOS30,SLOPE-ALOS30,WP Distance,AMT,MDR,ISO,TSE,MAWM,MIWM,TAR,MTWEQ,MTDQ,MTWAQ,MTCQ,RAI,RAWM,RADM,RASE,RAWEQ,RADQ,RAWAQ,RACQ,MTMAX,MTMIN,AI,AI_v3,ARIDITY,ARIDITY v3
59,Australia,"Wardle, Glenda",CSBB,18,1,3,2016/04/08,2016/04/08,Red sands,Ustox,Haplic Arenosols,Sand,110,1,138,134,,23.5848,-23.58481,138.38298,0.077304438,0.152944134,0.02587606,0.169186349,0.204691331,0.035571544,0.173781392,0.205555237,0.030895689,0.150303583,0.26553,0.070721411,0.266340569,227,2.7434,378.8498,23.9,15.5,47.82,621.4479,39.1,6.6,32.5,31,17.5,31,15.7,207,44,4,66.7065,103,21,103,22,31.7,16.2,0.0697,0.0694,0.9303,0.9306
60,Australia,"Wardle, Glenda",CSBB,18,2,2,2016/04/08,2016/04/08,Red sands,Ustox,Haplic Arenosols,Sand,110,1,129,129,,23.6216,-23.62158,138.40321,0.081237226,0.151015915,0.036039877,0.238649527,0.185235317,0.035141265,0.189711472,0.192406927,0.029462297,0.153124927,0.23436,0.052074061,0.222196879,0,1.8543,4942.967,24,15.5,47.82,623.5825,39.1,6.6,32.5,31,17.5,31,15.7,204,43,4,66.4981,101,20,101,21,31.7,16.2,0.0686,0.0684,0.9314,0.9316
61,Australia,"Wardle, Glenda",CSBB,18,3,1,2016/04/08,2016/04/08,Red sands,Ustox,Haplic Arenosols,Sand,110,1,126,124,,23.6518,-23.65176,138.41831,0.072619798,0.155442617,0.039923088,0.256834894,0.193756476,0.051832194,0.267512062,0.186699081,0.029164352,0.156210472,0.230925,0.052356962,0.226727127,180,0.9274,8621.3566,24,15.5,47.74,623.9439,39.1,6.7,32.4,31,17.5,31,15.7,203,43,4,65.6727,100,21,100,22,31.7,16.2,0.0683,0.068,0.9317,0.932
62,Australia,"Wardle, Glenda",CSBB,18,4,0,2016/04/08,2016/04/08,Red sands,Ustox,Haplic Arenosols,Sand,110,1,121,119,,23.6817,-23.68172,138.43543,0.068155465,0.140537554,0.032538082,0.231525887,0.170508012,0.036074669,0.211571692,0.194072174,0.03567666,0.183831917,0.246745,0.06852959,0.277734463,245,2.2267,12370.1452,24,15.4,47.56,623.0975,39.1,6.7,32.4,31.1,17.5,31.1,15.7,200,42,4,65.3604,98,21,98,22,31.7,16.3,0.0673,0.067,0.9327,0.933
63,Botswana,"Thomas, Andrew",Lehwerane,19,1,3,2016/04/20,2016/04/20,,Psamments,Haplic Calcisols,Sand,,2,1006,1006,,25.7206,-25.72055,22.29623,0.104537369,0.175552577,0.010206702,0.05814043,0.257165576,0.050661876,0.197001001,0.194849822,0.016825032,0.086348714,0.24947,0.03911784,0.156803782,180,0.9274,1612.6957,21.7,18.2,55.83,508.712,36.9,4.3,32.6,26.3,14.9,27,14.9,309,57,2,81.5936,166,7,150,7,30.8,12.6,0.1148,0.1154,0.8852,0.8846
64,Botswana,"Thomas, Andrew",Lehwerane,19,2,2,2016/04/21,2016/04/21,,Psamments,Haplic Arenosols,Sand,,2,1008,1006,,25.6901,-25.69008,22.283,0.111502797,0.185203865,0.013336722,0.072011037,0.262540251,0.045534943,0.173439854,0.2157825,0.025464103,0.118008192,0.308085,0.057105648,0.185356794,270,1.0291,5169.9703,21.7,18.2,55.85,509.3109,36.9,4.3,32.6,26.3,14.9,27,14.9,308,56,2,81.0829,165,7,148,7,30.8,12.6,0.1145,0.1152,0.8855,0.8848
65,Botswana,"Thomas, Andrew",Lehwerane,19,3,1,2016/04/22,2016/04/22,,Psamments,Ferralic Arenosols,Sand,,1,1006,1007,,25.6011,-25.60113,22.26667,0.112837315,0.172879142,0.011886496,0.068756101,0.287389209,0.077214788,0.268676714,0.216561472,0.032500622,0.150075734,0.32318,0.067237839,0.208050742,228,1.3846,15142.1701,21.7,18.2,55.85,508.3284,36.9,4.4,32.5,26.2,14.9,27,14.9,306,56,2,81.2298,164,7,147,7,30.8,12.7,0.114,0.1146,0.886,0.8854
66,Botswana,"Thomas, Andrew",Lehwerane,19,4,0,2016/04/23,2016/04/23,,Psamments,Haplic Arenosols,Sand,,2,1006,1007,,25.5587,-25.55868,22.24379,0.113099824,0.171962827,0.002750464,0.015994525,0.276845922,0.051719544,0.186817069,0.22076164,0.026314649,0.119199373,0.316895,0.050422807,0.159115186,0,0,20250.0206,21.7,18.1,55.72,510.2025,36.8,4.3,32.5,26.2,14.8,27,14.8,305,56,2,81.8044,164,7,147,7,30.7,12.6,0.1138,0.1143,0.8862,0.8857
67,Botswana,"Thomas, Andrew",Xasape,20,1,3,2016/04/15,2016/04/15,,Psamments,Ferralic Arenosols,Sand,,2,1115,1116,,24.2524,-24.25235,21.86032,0.141027311,0.227175703,0.019364929,0.085242077,0.357623388,0.093717358,0.262056008,0.234820682,0.030861156,0.131424352,0.343395,0.073553171,0.214194064,90,1.0172,1663.9514,21.3,17.9,56.26,489.2037,36.1,4.3,31.8,25.6,14.7,26.3,14.7,330,70,1,87.8595,186,4,172,4,30.2,12.4,0.124,0.1246,0.876,0.8754
68,Botswana,"Thomas, Andrew",Xasape,20,2,2,2016/04/16,2016/04/16,,Psamments,Ferralic Arenosols,Sand,,2,1114,1115,,24.264,-24.264,21.86169,0.140130216,0.234295921,0.03193135,0.136286409,0.365496387,0.066431585,0.18175716,0.24391747,0.030220555,0.123896638,0.350895,0.064497984,0.183809927,0,0,2934.3851,21.3,17.9,56.26,489.2037,36.1,4.3,31.8,25.6,14.7,26.3,14.7,331,70,1,87.7805,186,4,173,4,30.2,12.4,0.1244,0.1249,0.8756,0.8751
69,Botswana,"Thomas, Andrew",Xasape,20,3,1,2016/04/17,2016/04/17,,Psamments,Ferralic Arenosols,Sand,,3,1113,1113,,24.292,-24.29197,21.85908,0.13100606,0.243512748,0.018166253,0.07460083,0.382999082,0.048971568,0.127863407,0.248450128,0.034927122,0.14058001,0.359535,0.069419922,0.193082515,0,0,5953.0407,21.3,17.9,56.26,489.6572,36.1,4.3,31.8,25.6,14.7,26.3,14.7,331,69,1,87.3357,185,4,172,4,30.2,12.3,0.1241,0.1247,0.8759,0.8753
