"","table_no","p_value","ID","species","nurse_p","nurse_a","bare_p","bare_a"
"1200",1200,0.602773312365896,"196","Cyperus margaritaceus",1,25,3,23
"1201",1201,0.724938927228203,"196","Eragrostis pallens",6,20,4,22
"1202",1202,0.118464893871545,"196","Aristida meridionalis",0,26,4,22
"1203",1203,1,"196","Geophyt indet.",0,26,1,25
"1204",1204,0.470841681990632,"196","Elephantorrhiza elephantina",2,24,0,26
"1205",1205,1,"196","Merremia tridentata",1,25,1,25
"1206",1206,0.00713511502705886,"196","Pollichia campestris",8,18,0,26
"1207",1207,1,"196","Cucumis meeusei",0,26,1,25
"1208",1208,1,"196","Ipomoea welwitschii",0,26,1,25
"1209",1209,0.602773312365896,"196","Lapeirousia bainesii",1,25,3,23
"1210",1210,0.234233757393133,"196","Grewia flava",3,23,0,26
"1211",1211,1,"196","Indigofera heterotricha",1,25,1,25
"1212",1212,0.234233757393133,"196","Lantana angolensis",3,23,0,26
"1213",1213,0.234233757393133,"196","Rhus tenuinervis",3,23,0,26
"1214",1214,0.0147770451687697,"196","Rhynchosia minima",7,19,0,26
"1215",1215,1,"196","Sida ovata",1,25,0,26
"1216",1216,1,"196","Solanum delagoense",2,24,2,24
"1217",1217,1,"196","Tarchonanthus camphoratus",1,25,0,26
"1218",1218,1,"196","Ziziphus mucronata",1,25,0,26
"1219",1219,0.470841681990632,"196","Trachyandra saltii",0,26,2,24
"1220",1220,1,"196","Acacia mellifera",0,26,1,25
"1221",1221,0.470841681990632,"196","Blepharis integrifolia",2,24,0,26
"1222",1222,1,"196","Dichrostachys cinerea",1,25,2,24
"1223",1223,0.602773312365896,"196","Raphionacme lanceolata",1,25,3,23
"1224",1224,1,"196","Hermannia pulchella",0,26,1,25
"1225",1225,1,"196","Melinis repens",1,25,0,26
"1226",1226,1,"196","Requienia sphaerosperma",0,26,1,25
"1227",1227,1,"197","Aristida stipitata",21,16,20,17
"1228",1228,1,"197","Dicoma schinzii",22,15,21,16
"1229",1229,0.190601392066981,"197","Hermannia tomentosa",7,30,13,24
"1230",1230,0.351676308934695,"197","Indigofera alternans",22,15,17,20
