"","table_no","p_value","exp_nurse_p","exp_nurse_a","exp_bare_p","exp_bare_a","res_nurse_p","res_nurse_a","res_bare_p","res_bare_a","site_ID","ID","graz","aridity","species","nurse_p","nurse_a","bare_p","bare_a","association"
"112",112,0.247848157712517,32,32,43,43,-0.707106781186547,0.707106781186547,0.609994281330419,-0.609994281330419,"6","18","1","0.8223","Sphaeralcea mendocina",28,47,36,39,"neutral"
"113",113,0.189994573329605,40.5,40.5,34.5,34.5,-0.707106781186548,0.707106781186548,0.766130877682874,-0.766130877682874,"6","18","1","0.8223","Glandularia parodii",36,39,45,30,"neutral"
"114",114,0.476546211785049,74,74,1,1,0.116247638743819,-0.116247638743819,-1,1,"6","18","1","0.8223","Nassella tenuis",75,0,73,2,"too_rare"
"115",115,3.4573705567113e-10,22,22,53,53,3.83761289440099,-3.83761289440099,-2.4724901510764,2.4724901510764,"6","18","1","0.8223","Conyza lorentzii",40,35,4,71,"nurse"
"116",116,0.743420697695252,5,5,70,70,0.447213595499958,-0.447213595499958,-0.119522860933439,0.119522860933439,"6","18","1","0.8223","Hysterionica jasionoides",6,69,4,71,"neutral"
"117",117,0.302878506461013,8.5,8.5,66.5,66.5,-0.857492925712544,0.857492925712544,0.306569669742483,-0.306569669742483,"6","18","1","0.8223","Cardionema ramosissima",6,69,11,64,"neutral"
"118",118,0.0211640606057851,14,14,61,61,1.60356745147455,-1.60356745147455,-0.768221279597376,0.768221279597376,"6","18","1","0.8223","Poa lanuginosa",20,55,8,67,"nurse"
"119",119,2.90085663832334e-07,20.5,20.5,54.5,54.5,3.20251425617055,-3.20251425617055,-1.96412783828793,1.96412783828793,"6","18","1","0.8223","Ephedra triandra",35,40,6,69,"nurse"
"120",120,0.00595122641081352,4.5,4.5,70.5,70.5,2.12132034355964,-2.12132034355964,-0.535942200757872,0.535942200757872,"6","18","1","0.8223","Schinus johnstonii",9,66,0,75,"too_rare"
"121",121,0.111014772599141,23,23,52,52,1.04257207028537,-1.04257207028537,-0.693375245281536,0.693375245281536,"6","18","1","0.8223","Baccharis ulicina",28,47,18,57,"neutral"
