"","country","ID","site_ID","plot","graz","aridity","replicate_no","nurse","NIntc_richness","NIntc_cover","NIntc_shannon","NInta_richness","NInta_cover","NInta_shannon"
"118","argentina",16,6,1,3,0.8212,43,"Prosopis flexuosa var. depressa",-0.142857142857143,0.194444444444444,-0.119428550784169,-0.25,0.388888888888889,-0.213374137546355
"119","argentina",16,6,1,3,0.8212,44,"Prosopis flexuosa var. depressa",0,-0.679012345679012,0.242009628839522,0,-0.808823529411765,0.484019257679044
"120","argentina",16,6,1,3,0.8212,45,"Prosopis flexuosa var. depressa",0.2,0.966942148760331,-0.408025495066387,0.4,1.93388429752066,-0.579571174664204
"121","argentina",16,6,1,3,0.8212,46,"Prosopis flexuosa var. depressa",0.4,0.375,0.13198900353905,0.8,0.75,0.2639780070781
"122","argentina",16,6,1,3,0.8212,47,"Prosopis flexuosa var. depressa",-0.2,0.653333333333333,-0.501286475687204,-0.333333333333333,1.30666666666667,-0.667809220698859
"123","argentina",16,6,1,3,0.8212,48,"Prosopis flexuosa var. depressa",-0.333333333333333,0.655737704918033,-0.90177166354876,-0.5,1.31147540983607,-0.948349037724149
"124","argentina",16,6,1,3,0.8212,49,"Prosopis flexuosa var. depressa",0.5,0.439024390243902,0.522392253332921,1,0.878048780487805,1.04478450666584
"125","argentina",16,6,1,3,0.8212,50,"Prosopis flexuosa var. depressa",0.6,0.707142857142857,0.506262991527279,1.2,1.41428571428571,1.01252598305456
"126","argentina",16,6,1,3,0.8212,51,"Larrea divaricata",0.285714285714286,0.585185185185185,-0.103944045302069,0.571428571428571,1.17037037037037,-0.188313974325803
"127","argentina",16,6,1,3,0.8212,52,"Larrea divaricata",0.333333333333333,0.529411764705882,0.333884452192947,0.666666666666667,1.05882352941176,0.667768904385894
"128","argentina",16,6,1,3,0.8212,53,"Larrea divaricata",-0.4,-0.210526315789474,-0.272185487023644,-0.571428571428571,-0.347826086956522,-0.427902204198916
"129","argentina",16,6,1,3,0.8212,54,"Larrea divaricata",0.25,0.71875,0.651872105605279,0.5,1.4375,1.30374421121056
"130","argentina",16,6,1,3,0.8212,55,"Larrea divaricata",0.666666666666667,0.782608695652174,1,1.33333333333333,1.56521739130435,2
"131","argentina",16,6,1,3,0.8212,56,"Larrea divaricata",0.2,0.454545454545455,0.0394373670173096,0.4,0.909090909090909,0.0788747340346193
"132","argentina",16,6,1,3,0.8212,57,"Larrea divaricata",0.571428571428571,0.744,0.818530820008058,1.14285714285714,1.488,1.63706164001612
"133","argentina",16,6,1,3,0.8212,58,"Larrea divaricata",-0.2,0.452380952380952,-0.254525922623075,-0.333333333333333,0.904761904761905,-0.405772281039661
"134","argentina",16,6,1,3,0.8212,59,"Larrea divaricata",0.4,0.635593220338983,0.341110664513227,0.8,1.27118644067797,0.682221329026454
"135","argentina",16,6,1,3,0.8212,60,"Larrea divaricata",0.666666666666667,0.621212121212121,0.596225743275409,1.33333333333333,1.24242424242424,1.19245148655082
"136","argentina",16,6,1,3,0.8212,61,"Larrea divaricata",0.5,0.44,0.2889528784706,1,0.88,0.577905756941201
"137","argentina",16,6,1,3,0.8212,62,"Larrea divaricata",0,0.651162790697674,-0.187611960974804,0,1.30232558139535,-0.315948251010895
"138","argentina",16,6,1,3,0.8212,63,"Larrea divaricata",-0.125,-0.5,0.456314241552031,-0.222222222222222,-0.666666666666667,0.912628483104061
"139","argentina",16,6,1,3,0.8212,64,"Larrea divaricata",0,-0.384615384615385,0.0683452989047981,0,-0.555555555555556,0.136690597809596
"140","argentina",16,6,1,3,0.8212,65,"Larrea divaricata",0.5,0.868852459016393,0.217951093045685,1,1.73770491803279,0.435902186091369
"141","argentina",16,6,1,3,0.8212,66,"Larrea divaricata",0.454545454545455,0.656716417910448,0.22206487347938,0.909090909090909,1.3134328358209,0.44412974695876
"142","argentina",16,6,1,3,0.8212,67,"Larrea divaricata",0,0.373831775700935,0.277173887415769,0,0.747663551401869,0.554347774831538
"143","argentina",16,6,1,3,0.8212,68,"Larrea divaricata",0,0.872093023255814,-0.695677536210918,0,1.74418604651163,-0.820530462136623
"144","argentina",16,6,1,3,0.8212,69,"Larrea divaricata",0,0.695652173913043,-0.407299411822516,0,1.39130434782609,-0.578838317419667
"145","argentina",16,6,1,3,0.8212,70,"Larrea divaricata",-0.181818181818182,0.426086956521739,-0.29370201296027,-0.307692307692308,0.852173913043478,-0.454048938655072
"146","argentina",16,6,1,3,0.8212,71,"Larrea divaricata",0,0.833333333333333,-0.243563824620416,0,1.66666666666667,-0.391719057435208
"147","argentina",16,6,1,3,0.8212,72,"Larrea divaricata",-0.25,0.0588235294117647,-0.114299948800745,-0.4,0.117647058823529,-0.205151133541305
"148","argentina",16,6,1,3,0.8212,73,"Larrea divaricata",-0.166666666666667,-0.595238095238095,0.117646126053196,-0.285714285714286,-0.746268656716418,0.235292252106392
"149","argentina",16,6,1,3,0.8212,74,"Larrea divaricata",0.571428571428571,0.142857142857143,0.790807491969425,1.14285714285714,0.285714285714286,1.58161498393885
"150","argentina",16,6,1,3,0.8212,75,"Larrea divaricata",0,0.254901960784314,-0.178271663447955,0,0.509803921568627,-0.302598575486882
"151","argentina",17,6,2,2,0.8223,1,"Larrea divaricata",0.5,-0.764705882352941,0.915617510872363,1,-0.866666666666667,1.83123502174473
"152","argentina",17,6,2,2,0.8223,2,"Larrea divaricata",0,-0.388235294117647,-0.193940591157597,0,-0.559322033898305,-0.324874776172171
"153","argentina",17,6,2,2,0.8223,3,"Larrea divaricata",-0.428571428571429,0.0849056603773585,-0.323219393115878,-0.6,0.169811320754717,-0.488534848865494
"154","argentina",17,6,2,2,0.8223,4,"Larrea divaricata",0.285714285714286,0.346938775510204,0.422860652289202,0.571428571428571,0.693877551020408,0.845721304578404
"155","argentina",17,6,2,2,0.8223,5,"Larrea divaricata",0.2,0.515463917525773,0.15752689121843,0.4,1.03092783505155,0.315053782436861
"156","argentina",17,6,2,2,0.8223,6,"Larrea divaricata",0.666666666666667,0.488636363636364,0.618113600607209,1.33333333333333,0.977272727272727,1.23622720121442
"157","argentina",17,6,2,2,0.8223,7,"Larrea divaricata",-0.285714285714286,0.164705882352941,0.177239055713234,-0.444444444444444,0.329411764705882,0.354478111426468
"158","argentina",17,6,2,2,0.8223,8,"Larrea divaricata",0.571428571428571,0.688775510204082,0.665720918861882,1.14285714285714,1.37755102040816,1.33144183772376
